ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
801230	10	W	8	71	48788	.591	47.356	34.082004	-117.699964	.845	ML	4	MONTE VISTA AVE	1			
801231	10	W	8	71	48788	.591	47.356	34.082004	-117.699964		OR	2	MONTE VISTA AVE	1			
801232	10	E	8	71	48788	.721	47.486	34.082149	-117.697705	.996	ML	4	MONTE VISTA AVE	2			
801233	10	E	8	71	48788	.721	47.486	34.082149	-117.697705		OR	2	MONTE VISTA AVE	2			
801234	10	W	8	71	48788	1.168	47.933	34.085065	-117.690768	.66	ML	4	CENTRAL AVE	3			
801236	10	W	8	71	48788	1.168	47.933	34.085065	-117.690768		OR	2	CENTRAL AVE	3			
801237	10	E	8	71	48788	1.342	48.107	34.086058	-117.68797	.593	ML	4	CENTRAL AVE	4			
801238	10	E	8	71	48788	1.342	48.107	34.086058	-117.68797		OR	2	CENTRAL AVE	4			
801239	10	E	8	71	81344	1.908	48.673	34.087191	-117.67832	.523	ML	4	BENSON AVE	5			
801241	10	W	8	71	81344	2.255	49.02	34.087447	-117.672326	.512	ML	4	MOUNTAIN AVE	6			
801242	10	W	8	71	81344	2.255	49.02	34.087447	-117.672326		OR	2	MOUNTAIN AVE	6			
801243	10	E	8	71	81344	2.387	49.152	34.087182	-117.669959	.512	ML	4	MOUNTAIN AVE	7			
801244	10	E	8	71	81344	2.387	49.152	34.087182	-117.669959		OR	2	MOUNTAIN AVE	7			
801245	10	E	8	71	81344	2.932	49.697	34.087226	-117.660445	.604	ML	4	SAN ANTONIO AVE	8			
801248	10	W	8	71	81344	3.545	50.31	34.087474	-117.649722	.611	ML	4	EUCLID AVE LOOP	10			
801249	10	W	8	71	81344	3.545	50.31	34.087474	-117.649722		OR	1	EUCLID AVE LOOP	10			
801250	10	E	8	71	81344	3.596	50.361	34.087267	-117.648858	.614	ML	4	EUCLID AVE	11			
801252	10	E	8	71	81344	3.596	50.361	34.087267	-117.648858		OR	1	EUCLID AVE	11			
801255	10	E	8	71	81344	4.636	51.401	34.082592	-117.632187	.566	ML	4	GROVE AVE	13			
801259	10	W	8	71	53896	5.211	51.976	34.078035	-117.62377	.941	ML	4	4TH ST	15			
801260	10	W	8	71	53896	5.211	51.976	34.078035	-117.62377		OR	2	4TH ST	15			
801261	10	E	8	71	53896	5.292	52.057	34.077163	-117.622804	.811	ML	4	4TH ST	16			
801262	10	E	8	71	53896	5.292	52.057	34.077163	-117.622804		OR	2	4TH ST	16			
