ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
312133	5	N	3	67		12.211	507.504	38.42863	-121.487657	.784	ML	3	Laguna Blvd	TA-74			
312134	5	N	3	67		11.09	506.383	38.412564	-121.484319	1.355	ML	2	Elk Grove Blvd	TA-72			
312139	50	E	3	67	64000	L1.567	4.723	38.562532	-121.48956	.407	ML	5	16th St.	TA-104			
312141	50	E	3	67	64000	L1.741	4.897	38.561712	-121.48654		OR	2	16th St.	TA-104			
312142	50	W	3	67	64000	L1.732	4.888	38.562021	-121.486585		FR	2	16th St	TA-104			
312188	50	W	3	67	64000	R2.5	8.134	38.551231	-121.430307	.664	ML	4	65th St	TA-111			
312189	50	W	3	67	64000	R2.5	8.134	38.551231	-121.430307		OR	2	65th St	TA-111			
312205	50	W	3	67	64000	R3.227	8.861	38.55209	-121.417282	.482	ML	4	Hornet Dr.	TA-115			
312206	50	W	3	67	64000	R2.87	8.504	38.550732	-121.423637		FR	1	65th St	TA-111			
312207	50	W	3	67	64000	R3.426	9.06	38.552881	-121.413747		OR	2	SB Howe Ave.				
312208	50	W	3	67	64000	R3.226	8.86	38.552086	-121.4173		OR	2	Hornet Dr./ Howe	TA-115			
312220	50	W	3	67	64000	R3.8	9.434	38.55435	-121.407106	.517	ML	4	NB Howe Ave	TA-117			
312221	50	W	3	67	64000	R3.78	9.414	38.554268	-121.407459		OR	2	NB Howe Ave	TA-117			
312222	50	W	3	67	64000	R3.9	9.534	38.554757	-121.405336		FR	2	Howe Ave	TA-117			
312233	99	N	3	67	64000	17.079	291.549	38.467834	-121.416092	.584	ML	3	Stockton Blvd	TA-120			
312236	50	W	3	67	64000	R1.9	7.534	38.555045	-121.440194	.524	ML	4	59th St	TA-110			
312247	50	W	3	67	64000	R1.934	7.568	38.554761	-121.439683		OR	2	59th St	TA-110			
312264	50	W	3	67	64000	R5.1	10.734	38.558393	-121.383725	.45	ML	4	SB Watt Ave.	TA-121			
312265	50	W	3	67	64000	R5.1	10.734	38.558393	-121.383725		OR	3	SB Watt Ave.	TA-121			
312326	80	W	3	67	64000	M3.51	87.415	38.632837	-121.502546	.445	ML	4	SB Truxel Rd.	TA-250			
312327	80	W	3	67	64000	M3.51	87.415	38.632837	-121.502546		OR	2	SB Truxel Rd.	TA-250			
312343	80	E	3	67	64000	M3.58	87.485	38.633144	-121.501332	.49	ML	3	SB Truxel Rd.	TA-252			
312344	80	E	3	67	64000	M3.58	87.485	38.633144	-121.501332		OR	2	SB Truxel Rd.	TA-252			
312345	80	E	3	67	64000	M3.58	87.485	38.633144	-121.501332		FR	2	SB Truxel Rd.	TA-252			
312346	80	W	3	67	64000	M3.69	87.595	38.634292	-121.499778	.491	ML	3	NB Truxel Rd.	TA-251			
312347	80	W	3	67	64000	M3.69	87.595	38.634292	-121.499778		OR	2	NB Truxel Rd.	TA-251			
312382	99	N	3	67	64000	17.46	291.93	38.472175	-121.420424	.415	ML	3	EB Mack Rd	TA-4			
312383	99	N	3	67	64000	17.614	292.084	38.473911	-121.422212		OR	2	EB Mack Rd	TA-4			
312386	99	N	3	67	64000	17.91	292.38	38.477202	-121.425725	.42	ML	3	WB Mack Rd	TA-6			
312387	99	N	3	67	64000	17.913	292.383	38.477234	-121.425761		OR	2	WB Mack Rd	TA-6			
312388	99	N	3	67	64000	18.3	292.77	38.48154	-121.430356	.35	ML	3	Tangerine Ave.	TA-7			
312420	99	S	3	67	64000	18.61	293.055	38.484941	-121.434178	.322	ML	3	Pomegranate Ave	TA-8			
312421	99	N	3	67		18.95	293.42	38.488781	-121.438055	.445	ML	3	Orange Ave	TA-9			
312422	99	N	3	67		19.5	293.97	38.494914	-121.444557	.425	ML	3	EB Florin Rd	TA-10			
312423	99	N	3	67		19.516	293.986	38.495093	-121.444747		OR	1	EB Florin Rd	TA-10			
312424	99	N	3	67		19.426	293.896	38.494088	-121.443683		FR	1	EB Florin Rd	TA-10			
312425	99	N	3	67		19.8	294.27	38.498256	-121.448118	.373	ML	3	WB Florin Rd	TA-12			
312426	99	N	3	67		19.747	294.217	38.497663	-121.447492		OR	2	WB Florin Rd	TA-12			
312427	99	S	3	67		19.8	294.245	38.498159	-121.448297		FR	2	WB Florin Rd	TA-12			
312439	80	E	3	67	64000	M3.78	87.685	38.634771	-121.498277	.458	ML	4	NB Truxel Rd	TA-253			
312440	80	E	3	67	64000	3.78	87.685	38.634771	-121.498277		OR	2	NB Truxel Rd	TA-253			
312513	99	N	3	67		20.247	294.717	38.503254	-121.453395	.499	ML	3	Turnbridge Dr	TA-13			
312514	99	N	3	67		20.8	295.27	38.509693	-121.459386	.376	ML	3	EB 47th Ave	TA-14			
312515	99	N	3	67		20.8	295.27	38.509693	-121.459386		OR	2	EB 47th Ave	TA-14			
312517	99	S	3	67		20.963	295.408	38.511798	-121.460836	.645	ML	3	EB 47th Ave	TA-15			
312518	99	S	3	67		20.95	295.395	38.511624	-121.460746		OR	1	EB 47th Ave	TA-15			
312519	99	S	3	67		21.049	295.494	38.512953	-121.461432		FR	1	EB 47th Ave	TA-15			
312520	99	N	3	67		21	295.47	38.51236	-121.460827	.369	ML	3	WB 47th Ave	TA-16			
312521	99	N	3	67		21	295.47	38.51236	-121.460827		OR	2	WB 47th Ave	TA-16			
312523	99	N	3	67		21.537	296.007	38.519554	-121.46462	.432	ML	3	Martin L. King Jr	TA-17			
312524	99	N	3	67		21.391	295.861	38.517605	-121.463566		FR	1	Martin L. King Jr	TA-17			
312525	99	N	3	67		21.865	296.335	38.52394	-121.466959	.267	ML	3	EB Fruitridge	TA-18			
312526	99	N	3	67		21.896	296.366	38.524356	-121.467177		OR	1	EB Fruitridge	TA-18			
312527	99	N	3	67		22.07	296.54	38.526685	-121.468411	.367	ML	3	WB Fruitridge	TA-19			
312528	99	N	3	67	64000	22.111	296.581	38.527234	-121.468703		OR	1	WB Fruitridge	TA-19			
312529	99	N	3	67		21.956	296.426	38.52516	-121.467601		FR	1	WB Fruitridge	TA-19			
312530	99	S	3	67	64000	22.6	297.045	38.533712	-121.472405	.66	ML	4	21st Ave UC	TA-21			
312562	99	N	3	67	64000	23.185	297.655	38.542033	-121.4737	.409	ML	4	12th Ave	TA-23			
312563	99	N	3	67	64000	23.209	297.679	38.542381	-121.473702		OR	1	12th Ave	TA-23			
312564	99	S	3	67	64000	23.42	297.865	38.545438	-121.473985	.42	ML	4	8th Ave. POC	TA-24			
312566	99	S	3	67	64000	24.026	298.471	38.55419	-121.474301	.787	ML	3	Broadway	TA-25			
312569	99	S	3	67	64000	24.035	298.48	38.55432	-121.474319		FF	2	50EB->99SB	TA-25			
312570	99	S	3	67	22020	15.533	289.978	38.446976	-121.405903	.893	ML	2	Jacinto Rd.	TA-224			
312648	99	N	3	67	22020	16.18	290.65	38.45578	-121.409874	.38	ML	2	EB Calvine Rd.	TA-002			
312649	99	N	3	67	22020	16.192	290.662	38.455943	-121.409951		OR	2	EB Calvine Rd.	TA-002			
312650	99	N	3	67	22020	15.984	290.454	38.453121	-121.408617		FR	1	EB Calvine Rd.	TA-002			
312651	99	N	3	67	22020	16.293	290.763	38.45731	-121.410614	.449	ML	2	WB Calvine Rd.	TA-003			
312652	99	N	3	67	22020	16.321	290.791	38.457688	-121.4108		OR	3	WB Calvine Rd.	TA-003			
312689	51	N	3	67	64000	.68	.68	38.568104	-121.469267	.528	ML	4	P St.	TA-28			
312692	51	N	3	67	64000	.762	.762	38.569227	-121.468765		OR	2	P St.	TA-28			
312694	51	N	3	67	64000	1.16	1.16	38.574692	-121.466428	.41	ML	4	30 & J St.	TA-30			
312706	51	N	3	67	64000	1.16	1.16	38.574692	-121.466428		OR	2	30 & J St.	TA-30			
312709	51	N	3	67	64000	1.16	1.16	38.574692	-121.466428		FR	2	30 & J St.	TA-30			
312745	51	N	3	67	64000	1.5	1.5	38.579355	-121.46446	.42	ML	3	30 & E St.	TA-31			
312746	51	N	3	67	64000	1.5	1.5	38.579355	-121.46446		OR	2	30 & E St.	TA-31			
312757	51	S	3	67	64000	3.32	3.32	38.596473	-121.443813	.505	ML	5	EB Exposition Bl.	TA-35			
312758	51	S	3	67	64000	3.32	3.32	38.596473	-121.443813		OR	1	EB Exposition Bl.	TA-35			
312771	51	S	3	67	64000	3.41	3.41	38.597692	-121.443168	.205	ML	3	WB Exposition Bl.	TA-37			
312772	51	S	3	67	64000	3.41	3.41	38.597692	-121.443168		OR	2	WB Exposition Bl.	TA-37			
312773	51	S	3	67	64000	3.5	3.5	38.598802	-121.442169		FR	1	WB Exposition Bl.	TA-37			
312782	51	N	3	67	64000	4.196	4.196	38.604957	-121.433193	.447	ML	4	Arden Way	TA-38			
312804	51	N	3	67	64000	4.71	4.71	38.610789	-121.426939	.342	ML	4	EB El Camimo	TA-40			
312805	51	N	3	67	64000	4.71	4.71	38.610789	-121.426939		OR	1	EB El Camimo	TA-40			
312806	51	N	3	67	64000	4.71	4.71	38.610789	-121.426939		FR	2	EB El Camimo	TA-40			
312807	51	N	3	67	64000	4.88	4.88	38.612657	-121.424917	.195	ML	4	WB El Camino	TA-41			
312808	51	N	3	67	64000	4.88	4.88	38.612657	-121.424917		OR	1	WB El Camino	TA-41			
312852	51	S	3	67	64000	.104	.104	38.560257	-121.472941	.647	ML	3	T St.				
312853	51	S	3	67	64000	.08	.08	38.559958	-121.473079		OR	1	T St.	TA-26			
312854	51	S	3	67	64000	1.19	1.19	38.575167	-121.466517	.948	ML	3	J St.	TA-29			
312855	51	S	3	67	64000	1.15	1.15	38.574621	-121.466759		OR	2	H St.	TA-29			
312856	51	S	3	67	64000	2	2	38.584661	-121.458691	.605	ML	3	North of A St.	TA-33			
312857	51	S	3	67	64000	2.4	2.4	38.585454	-121.451307	.66	ML	3	Elvas UP	TA-84			
312858	51	N	3	67	64000	3.815	3.815	38.601169	-121.437541	.358	ML	2	51/160 IC				
312865	51	N	3	67	64000	3	3	38.591949	-121.445317	.539	ML	4	Tribute Rd.	TA-34A			
312895	51	N	3	67	64000	5.1	5.1	38.615045	-121.422286	.51	ML	4	Glenrose Ave	TA-44			
312896	51	N	3	67	64000	5.9	5.9	38.624557	-121.415907	.55	ML	3	Howe Ave.	TA-46			
312897	51	N	3	67	64000	5.88	5.88	38.624422	-121.416238		FR	1	Howe Ave.	TA-46			
312898	51	N	3	67	64000	6.2	6.2	38.626589	-121.410943	.485	ML	3	Bell St.	TA-47			
312899	51	N	3	67	64000	6.2	6.2	38.626589	-121.410943		FR	1	Bell St.	TA-47			
312900	51	S	3	67	64000	6.7	6.682	38.630273	-121.402873	.335	ML	3	SB Fulton Ave.	TA-48			
312901	51	S	3	67	64000	6.7	6.682	38.630273	-121.402873		OR	1	SB Fulton Ave.	TA-48			
312940	51	N	3	67	64000	6.87	6.87	38.631143	-121.399923	.685	ML	3	NB Fulton Ave.	TA-50			
312941	51	N	3	67	64000	6.87	6.87	38.631143	-121.399923		OR	3	NB Fulton Ave.	TA-50			
312942	51	S	3	67	64000	7.569	7.551	38.635616	-121.388435	.53	ML	3	Auburn Blvd	TA-51			
312943	51	S	3	67	64000	7.522	7.504	38.63524	-121.389149		OR	1	Auburn Blvd	TA-51			
312944	51	N	3	67	64000	7.85	7.85	38.638354	-121.384634	.17	ML	3	SB Watt Ave.	TA-52			
312945	51	N	3	67	64000	7.86	7.86	38.638464	-121.384514		OR	1	SB Watt Ave.	TA-52			
312946	51	S	3	67	64000	7.93	7.912	38.639341	-121.383856	.349	ML	3	SB Watt Ave / SB	TA-53			
312947	51	S	3	67	64000	7.93	7.912	38.639341	-121.383856		OR	1	SB Watt Ave / SB	TA-53			
313000	50	W	3	67	64000	R5.4	11.034	38.55899	-121.378233	.335	ML	4	NB Watt Ave.	TA-122			
313001	50	W	3	67	64000	R5.4	11.034	38.55899	-121.378233		OR	2	NB Watt Ave.	TA-122			
313002	50	W	3	67	64000	R5.4	11.034	38.55899	-121.378233		FR	1	NB Watt Ave	TA-122			
313003	50	W	3	67		R7.5	13.134	38.564145	-121.340221	.368	ML	4	SB Bradshaw Rd.	TA-125			
313004	50	W	3	67		R7.5	13.134	38.564145	-121.340221		OR	1	SB Bradshaw Rd.	TA-125			
313005	50	W	3	67		R7.8	13.434	38.566451	-121.335551	.385	ML	4	NB Bradshaw Rd.	TA-126			
313006	50	W	3	67		R7.8	13.434	38.566451	-121.335551		OR	2	NB Bradshaw Rd.	TA-126			
313007	50	W	3	67		R7.8	13.434	38.566451	-121.335551		FR	2	NB Bradshaw Rd.	TA-126			
313010	50	W	3	67		R9.5	15.134	38.578546	-121.308187	.374	ML	4	NB Mather Field Rd	TA-131			
313011	50	W	3	67		R9.5	15.134	38.578546	-121.308187		OR	2	NB Mather	TA-131			
313012	50	W	3	67		R9.5	15.134	38.578546	-121.308187		FR	1	NB Mather	TA-131			
313035	50	W	3	67		R10.9	16.534	38.590875	-121.287757	.415	ML	5	SB Zinfandel	TA-135			
313036	50	W	3	67		R10.9	16.534	38.590875	-121.287757		OR	1	SB Zinfandel	TA-135			
313037	50	W	3	67		R11	16.634	38.591754	-121.286292	.444	ML	4	NB Zinfandel Dr.	TA-136			
313038	50	W	3	67		R11	16.634	38.591754	-121.286292		OR	2	NB Zinfandel Dr.	TA-136			
313054	50	E	3	67		15.641	21.311	38.629848	-121.218803		OR	2	SB Hazel Ave.	TA-149			
313055	50	E	3	67		R15.805	21.475	38.631181	-121.216272	.531	ML	4	NB Hazel Ave.	TA-150			
313056	50	E	3	67		R15.8	21.47	38.631141	-121.216351		OR	2	NB Hazel Ave.	TA-150			
313080	50	W	3	67		15.7	21.37	38.630481	-121.218031	.389	ML	3	SB Hazel Ave.	TA-147			
313081	50	W	3	67		15.7	21.37	38.630481	-121.218031		OR	3	SB Hazel Ave.	TA-147			
313082	50	W	3	67		15.8	21.47	38.631299	-121.216481	.192	ML	3	NB Hazel Ave.	TA-148			
313083	50	W	3	67		15.8	21.47	38.631299	-121.216481		OR	1	NB Hazel Ave.	TA-148			
313084	50	W	3	67		15.8	21.47	38.631299	-121.216481		FR	2	NB Hazel Ave.	TA-148			
313111	80	E	3	67	64000	M4.9	88.805	38.64038	-121.479262	.252	ML	3	SB Northgate Blvd	TA-256			
313112	80	E	3	67	64000	M4.9	88.805	38.64038	-121.479262		OR	2	SB Northgate Blvd.	TA-256			
313113	80	E	3	67	64000	M4.9	88.805	38.64038	-121.479262		FR	2	SB Northgate Blvd.	TA-256			
313114	80	E	3	67	64000	M5	88.905	38.640613	-121.477438	.425	ML	4	NB Northgate Blvd.	TA-257			
313115	80	E	3	67	64000	M5	88.905	38.640613	-121.477438		OR	2	NB Northgate Blvd	TA-257			
313132	80	E	3	67	64000	M6.2	90.105	38.64122	-121.455363	.475	ML	3	NB Norwood Ave.	TA-258			
313133	80	E	3	67	64000	M6.2	90.105	38.64122	-121.455363		OR	2	NB Norwood Ave.	TA-258			
313144	99	S	3	67		21.863	296.308	38.523847	-121.467175	.532	ML	3	Fruitridge Rd.	TA-20			
313159	5	N	3	67		13.72	509.013	38.450246	-121.492176	.815	ML	3	Beach Lake	TA-201			
313166	99	N	3	67	22020	13.78	288.25	38.423041	-121.394986	.427	ML	2	EB Laguna Blvd	TA-216			
313172	99	N	3	67	22020	14	288.47	38.42605	-121.396344	.315	ML	2	WB Laguna Blvd	TA-220			
313178	99	N	3	67	22020	14.41	288.88	38.431651	-121.398881	.402	ML	2	Laguna Creek	TA-222			
313184	51	N	3	67	64000	8.05	8.05	38.640566	-121.382245	.179	ML	3	NB Watt Ave	TA-52A			
313190	99	N	3	67	22020	12.825	287.295	38.409988	-121.38899	.256	ML	2	Elk Grove Blvd	TA-210			
313197	51	S	3	67	64000	4.6	4.582	38.609724	-121.428528	.263	ML	4	EB El Camino	TA-42			
313204	51	S	3	67	64000	4.74	4.722	38.611244	-121.426816	.65	ML	4	WB El Camino	TA-43			
313339	50	W	3	67		16.883	22.553	38.639704	-121.199161	1.107	ML	2	Folsom Blvd.	TA-151			
313344	50	W	3	67		19.1	24.77	38.642282	-121.159267	.506	ML	2	SB Prairie City	TA-152			
313349	50	W	3	67		19.312	24.982	38.642108	-121.155404	.55	ML	2	NB Prairie City	TA-153			
313368	80	W	3	67		11.8	95.3	38.65368	-121.368403	.822	ML	6	Myrtle Ave.	R107			
313376	80	E	3	67		11.892	95.392	38.654449	-121.366977	.508	ML	6	Myrtle Ave.	R108			
313386	80	W	3	67		13	96.5	38.666974	-121.3541	.6	ML	4	E of Madison Ave	R109			
313393	80	E	3	67		13	96.5	38.666687	-121.353756	.546	ML	5	E of Madison Ave	R110			
313405	80	W	3	67		13.7	97.2	38.674709	-121.345726	.654	ML	4	Foothills Farm	R111			
313406	80	E	3	67		13.7	97.2	38.674358	-121.345413	.705	ML	5	Foothills Farm	R112			
313414	80	W	3	67		14.9	98.4	38.687909	-121.331274	.449	ML	4	Springwood Dr.	R113			
313420	80	E	3	67		14.9	98.4	38.687489	-121.331079	.4	ML	4	Springwood Dr.	R114			
313426	80	W	3	67		15.4	98.9	38.6934	-121.325241	.55	ML	4	Flaming Arrow Dr.	R115			
313432	80	E	3	67		15.4	98.9	38.692953	-121.325094	.5	ML	4	Flaming Arrow Dr.	R116			
313438	80	W	3	67		16.5	100	38.705474	-121.311953	.35	ML	4	EB Antelope Rd.	R119			
313444	80	E	3	67		16.5	100	38.705005	-121.311973	.4	ML	4	Antelope Rd. Off	R120			
313450	80	W	3	67		16.7	100.2	38.707666	-121.309534	.35	ML	4	WB Antelope Rd.	R121			
313456	80	E	3	67		16.7	100.2	38.707199	-121.30959	.35	ML	4	JEO Antelope Rd	R122			
313468	80	W	3	67		17.2	100.7	38.713156	-121.303518	.5	ML	4	Westwood Park	R123			
313469	80	E	3	67		17.2	100.7	38.712665	-121.303606	.5	ML	4	Westwood Park	R124			
313475	80	W	3	67		17.7	101.2	38.718633	-121.297486	.65	ML	4	Auburn Oaks Ct.	R125			
313482	80	E	3	67		17.7	101.2	38.718133	-121.297626	.65	ML	4	Auburn Oaks Ct.	R126			
313487	80	W	3	67	64000	M9.2	93.105	38.638915	-121.402197	.88	ML	2	Longview Dr.	R101			
313493	80	W	3	61		.2	101.7	38.72404	-121.291349	.2	ML	4	SB Riverside Ave.	R127			
313512	80	W	3	61	62938	.4	101.9	38.726237	-121.288936	.236	ML	3	NB Riverside Ave.	R129			
313551	50	E	3	67		19.32	24.99	38.641845	-121.155264	.6	ML	2	NB Prairie City Rd.	TA-154			
313552	50	E	3	67		19.5	25.17	38.641705	-121.151909	.44	ML	2	SB Prairie City Rd	TA-155			
313560	80	W	3	67		16	99.5	38.699998	-121.318012	.55	ML	4	Weigh Station	R117			
313567	80	E	3	67		15.9	99.4	38.698433	-121.319133	.55	ML	4	Weigh Station	R118			
313576	50	W	3	67		18.991	24.661	38.642373	-121.161237		OR	2	SB Prairie City	TA-152			
313579	50	W	3	67		19.242	24.912	38.64217	-121.156696		OR	1	NB Prairie City	TA-153			
313601	50	W	3	67		18.3	23.97	38.642792	-121.173725	1.108	ML	2	Iron Point Rd.	R187			
313606	50	E	3	67		18.3	23.97	38.642575	-121.173719	1.209	ML	2	Iron Point Rd.	R188			
313612	50	W	3	67		15.02	20.69	38.625027	-121.228482	.411	ML	3	W. of Hazel	R185			
313618	50	E	3	67		15.021	20.691	38.624844	-121.228324	.802	ML	3	W. of Hazel	R186			
313625	50	W	3	67		R13.5	19.17	38.615434	-121.253749	.85	ML	3	Pyrites Way	R181			
313631	50	E	3	67		R13.5	19.17	38.615211	-121.25363	.8	ML	3	Pyrites Way	R182			
313640	50	W	3	67		R11.788	17.422	38.600323	-121.277375	.768	ML	4	E. of Zinfandel Dr.	R179			
313646	50	E	3	67		R11.788	17.422	38.600283	-121.277138	.735	ML	4	E. of Zinfandel Dr.	R180			
313652	50	W	3	67		R10.17	15.804	38.584416	-121.298381	.7	ML	5	White Rock Rd.	R175			
313658	50	E	3	67		R10.17	15.804	38.58427	-121.29827	.63	ML	5	White Rock Rd.	R176			
313671	50	E	3	67	64000	R1.9	7.534	38.554789	-121.440288	.559	ML	4	59th St.	R152			
313684	50	E	3	67	64000	R2.573	8.207	38.550743	-121.429043	.428	ML	4	SB 65th St.	R154			
313692	50	W	3	67	64000	R3.466	9.1	38.55304	-121.413036	.286	ML	4	Hornet Dr	R155			
313698	50	E	3	67	64000	R3.46	9.094	38.552804	-121.413084	.435	ML	4	Hornet Dr	R156			
313728	50	E	3	67	64000	R.711	6.345	38.560792	-121.460789	.768	ML	5	Stockton Blvd.	R190			
313740	50	E	3	67		R9.465	15.099	38.578113	-121.308579	.45	ML	4	SB Mather Field Rd	R174			
313747	50	W	3	67		R5.77	11.404	38.559672	-121.371452	.431	ML	5	Manlove POC	R163			
313753	50	E	3	67		R5.77	11.404	38.55945	-121.371371	.391	ML	4	Manlove POC	R164			
313765	50	E	3	67		R8.27	13.904	38.569846	-121.328043	.418	ML	4	E. of Bradshaw	R170			
313772	50	W	3	113	84816	1.811	1.811	38.575116	-121.537446	.54	ML	5	Capitol Ave.	R146			
313790	50	W	3	67		R8.27	13.904	38.570067	-121.328183	.445	ML	5	E. of Bradshaw	R169			
313822	50	W	3	113	84816	.522	.522	38.575415	-121.560363	.787	ML	4	50/80 I.C.	R141			
313824	50	E	3	113	84816	.554	.554	38.575189	-121.55938	.649	ML	4	50/80 I.C.	R142			
313835	50	W	3	113	84816	2.326	2.326	38.576921	-121.527827	1.131	ML	3	Jefferson Blvd.	R148			
313840	50	E	3	113	84816	2.313	2.313	38.576694	-121.52808	1.138	ML	3	Jefferson Blvd.	R149			
313846	50	W	3	67		R7.064	12.698	38.562181	-121.347761	.619	ML	4	Mayhew Rd.	R167			
313852	50	E	3	67		R7.064	12.698	38.561957	-121.347672	.704	ML	4	Mayhew Rd.	R168			
313861	50	W	3	67		R8.69	14.324	38.573059	-121.321422	.575	ML	4	Routier Rd.	R171			
313867	50	E	3	67		R8.69	14.324	38.572887	-121.321301	.598	ML	4	Routier Rd.	R172			
313874	50	W	3	67	64000	L2.166	5.322	38.560047	-121.479023	.413	ML	4	25th Street	R95			
313890	50	W	3	67		R6.262	11.896	38.56061	-121.362437	.647	ML	5	W. of Mayhew	R165			
313897	50	E	3	67		R6.262	11.896	38.560406	-121.362358	.647	ML	4	W. of Mayhew	R166			
313904	50	W	3	67		R14.2	19.87	38.619875	-121.242126	.76	ML	3	W. of Canal	R183			
313912	50	E	3	67		R14.2	19.87	38.619685	-121.242008	.76	ML	3	W. of Canal	R184			
313931	50	W	3	67	64000	R4.5	10.134	38.5571	-121.39468	.65	ML	4	Occidental Dr.	R159			
313938	50	E	3	67	64000	R4.5	10.134	38.556882	-121.394604	.675	ML	4	Occidental Dr.	R160			
313951	51	N	3	67	64000	2	2	38.584522	-121.458575	.45	ML	3	North of A St.	TA-33			
313956	51	N	3	67	64000	.104	.104	38.560187	-121.472685	.392	ML	3	T St.	TA-26			
313965	51	S	3	67	64000	6.87	6.852	38.631278	-121.399991		FR	1	Fulton Off	TA-50			
313979	80	W	3	113	18100	2.45	74.637	38.552058	-121.698617	.75	ML	3	Mace Blvd.	R196			
313980	80	W	3	113	18100	2.45	74.637	38.552058	-121.698617		OR	2	Mace Blvd.	R196			
313981	80	W	3	113	18100	2.729	74.916	38.552944	-121.693607		FR	2	Mace Blvd.	R196			
314000	80	E	3	61		36.5	137.985	39.139078	-120.926307	4.19	ML	2	 Colfax Curve	R214			
314001	80	W	3	61		36.5	137.985	39.139159	-120.926309	4.189	ML	2	Colfax Curve	R214			
314013	80	E	3	113	18100	2.6	74.787	38.552241	-121.695688	.4	ML	3	SB Mace Blvd.	R197			
314014	80	E	3	113	18100	2.6	74.787	38.552241	-121.695688		OR	2	SB Mace Blvd.	R197			
314015	80	E	3	113	18100	2.447	74.634	38.551855	-121.698469		FR	2	SB Mace Blvd.	R197			
314025	80	E	3	113	18100	2.8	74.987	38.553123	-121.692178	.45	ML	3	NB Mace Blvd.	R198			
314026	80	E	3	113	18100	2.8	74.987	38.553123	-121.692178		OR	2	NB Mace Blvd.	R198			
314036	50	E	3	67		12.6	18.27	38.609583	-121.268647	.55	ML	3	NB Sunrise Blvd.	TA-225			
314042	50	E	3	67		12.4	18.07	38.60825	-121.271899	.424	ML	3	SB Sunrise Blvd.	TA-226			
314059	50	W	3	67		12.5	18.17	38.609151	-121.270397	.874	ML	3	NB Sunrise Blvd.	TA-227			
314060	50	W	3	67		12.5	18.17	38.609151	-121.270397		OR	2	NB Sunrise Blvd.	TA-227			
314061	50	W	3	67		12.808	18.478	38.611111	-121.265281		FR	4	Off to Sunrise	TA-227			
314078	50	W	3	67		12.25	17.92	38.60704	-121.274164		OR	3	SB Sunrise Blvd.	TA-228			
314098	99	N	3	67	22020	14	288.47	38.42605	-121.396344		OR	1	WB Laguna Blvd	TA-220			
314107	99	N	3	67	22020	12.76	287.23	38.409113	-121.388542		OR	3	Elk Grove Blvd	TA-210			
314114	99	N	3	67	22020	13.78	288.25	38.423041	-121.394986		OR	1	EB Laguna Blvd	TA-216			
314115	99	N	3	67	22020	13.504	287.974	38.419262	-121.393277		FR	2	EB Laguna Blvd	TA-216			
314121	51	N	3	67	64000	2.4	2.4	38.585349	-121.451288	.5	ML	3	Elvas UP	TA-84			
314129	51	S	3	67	64000	4.74	4.722	38.611244	-121.426816		OR	2	WB El Camino	TA-43			
