ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
311831	5	S	3	67		10.89	506.183	38.409697	-121.484102		OR	2	Elk Grove Blvd	TA-70			
311832	5	S	3	67		10.89	506.183	38.409697	-121.484102		FR	1	Elk Grove Blvd	TA-70			
311844	5	N	3	67		11.09	506.383	38.412564	-121.484319		OR	2	Elk Grove Blvd	TA-72			
311845	5	N	3	67		11.09	506.383	38.412564	-121.484319		FR	1	Elk Grove Blvd	TA-72			
311847	5	N	3	67		12.18	507.473	38.428186	-121.487563		OR	3	Laguna Blvd	TA-74			
311864	5	N	3	67		12.18	507.473	38.428186	-121.487563		FR	1	Laguna Blvd	TA-74			
311903	50	E	3	67	64000	L.6	3.756	38.56706	-121.506477	3.056	ML	4	6th & X St. (I-5)	TA-101			
311930	50	E	3	67	64000	L.6	3.756	38.567296	-121.50632		FF	2	I-5	TA-101			
311972	50	E	3	67	64000	L.6	3.756	38.56706	-121.506477		FR	3	I-5	TA-101			
311973	50	E	3	67	64000	L11.4	17.034	38.595281	-121.280376		OR	3	11 St &  X St.	TA-102			
311974	50	E	3	67	64000	L11.4	17.034	38.595281	-121.280376	2.6	ML	4	11 St &  X St.	TA-102			
312009	50	E	3	67	64000	L11.4	17.034	38.595281	-121.280376		FR	1	11 St &  X St.	TA-102			
312010	50	W	3	67	64000	L11.1	16.734	38.592632	-121.284824	2.418	ML	4	15th St & W St	TA-103			
312011	50	W	3	67	64000	L11.1	16.734	38.592632	-121.284824		OR	2	15th St & W St	TA-103			
312012	50	W	3	67	64000	L11.1	16.734	38.592632	-121.284824		FR	1	15th St & W St	TA-103			
312098	50	E	3	67	64000	L12.3	17.97	38.607393	-121.273347	2.118	ML	4	28th St	TA-106			
312099	50	E	3	67	64000	L12.3	17.97	38.607393	-121.273347		OR	1	28th St	TA-106			
312103	50	W	3	67	64000	R.5	6.134	38.560738	-121.464575	3.2	ML	4	Stockton Blvd	TA-107			
312104	50	W	3	67	64000	R.5	6.134	38.560738	-121.464575		OR	3	Stockton Blvd	TA-107			
312105	50	W	3	67	64000	R.5	6.134	38.560738	-121.464575		FR	2	Stockton Blvd	TA-107			
312108	50	W	3	67	64000	L12.3	17.97	38.607566	-121.273513		FR	2	28th St	TA-106			
312109	50	W	3	67		L12.3	17.97	38.607566	-121.273513		FF	1	28th St	TA-106			
312110	50	W	3	67		L12.3	17.97	38.607566	-121.273513		FR	1	28th St	TA-106			
312132	5	S	3	67		10.89	506.183	38.409697	-121.484102	4.58	ML	2	Elk Grove Blvd	TA-70			
312133	5	N	3	67		12.18	507.473	38.428186	-121.487563	1.455	ML	3	Laguna Blvd	TA-74			
312134	5	N	3	67		11.09	506.383	38.412564	-121.484319	3.045	ML	2	Elk Grove Blvd	TA-72			
312139	50	E	3	67	64000	L11.6	17.234	38.59769	-121.278281	.468	ML	4	16th & X St	TA-104			
312141	50	E	3	67	64000	L11.6	17.234	38.59769	-121.278281		OR	2	16th & X St	TA-104			
312142	50	W	3	67	64000	L11.6	17.234	38.597757	-121.27848		FR	2	16th & X St	TA-104			
312188	50	W	3	67	64000	R2.5	8.134	38.551231	-121.430307	.8	ML	4	65th St	TA-111			
312189	50	W	3	67	64000	R2.5	8.134	38.551231	-121.430307		OR	3	65th St	TA-111			
312190	50	W	3	67	64000	R2.5	8.134	38.551231	-121.430307		OR	2	65th St	TA-111			
312205	50	W	3	67	64000	R3.5	9.134	38.553169	-121.41243	.8	ML	4	Hornet Dr./ Howe	TA-115			
312206	50	W	3	67	64000	R2.5	8.134	38.551231	-121.430307		FR	2	65th St	TA-111			
312208	50	W	3	67	64000	R3.5	9.134	38.553169	-121.41243		OR	2	Hornet Dr./ Howe	TA-115			
312220	50	W	3	67	64000	R4.1	9.734	38.555562	-121.401793	.85	ML	4	Howe Ave.	TA-117			
312221	50	W	3	67	64000	R4.1	9.734	38.555562	-121.401793		OR	2	Howe Ave.	TA-117			
312236	50	W	3	67	64000	R1.9	7.534	38.555045	-121.440194	1	ML	4	59th St	TA-110			
